antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Rihanna'}),frozenset({'Pitbull'}),0.024710830704521555,0.012618296529968454,0.006309148264984227,0.2553191489361702,20.23404255319149,1.0,0.005997339675652725,1.325912573231185,0.9746630727762803,0.2033898305084746,0.2458024607436612,0.37765957446808507
frozenset({'Pitbull'}),frozenset({'Rihanna'}),0.012618296529968454,0.024710830704521555,0.006309148264984227,0.5,20.23404255319149,1.0,0.005997339675652725,1.950578338590957,0.9627263045793398,0.2033898305084746,0.48733153638814014,0.37765957446808507
frozenset({'Nicki Minaj'}),frozenset({'Rihanna'}),0.013669821240799159,0.024710830704521555,0.006834910620399579,0.5,20.23404255319149,1.0,0.006497117981957118,1.950578338590957,0.9637526652452025,0.21666666666666667,0.48733153638814014,0.38829787234042556
frozenset({'Beyoncé'}),frozenset({'Rihanna'}),0.02103049421661409,0.024710830704521555,0.010515247108307046,0.5,20.23404255319149,1.0,0.009995566126087875,1.950578338590957,0.970998925886144,0.29850746268656714,0.48733153638814014,0.46276595744680854
frozenset({'Rihanna'}),frozenset({'Icona Pop'}),0.024710830704521555,0.010515247108307046,0.005257623554153523,0.21276595744680854,20.23404255319149,1.0,0.004997783063043938,1.2569130644840425,0.9746630727762803,0.17543859649122806,0.20440002713274702,0.3563829787234043
frozenset({'Rihanna'}),frozenset({'Beyoncé'}),0.024710830704521555,0.02103049421661409,0.010515247108307046,0.4255319148936171,20.23404255319149,1.0,0.009995566126087875,1.7041321026599683,0.9746630727762803,0.29850746268656714,0.41319103229197623,0.46276595744680854
frozenset({'M.I.A.'}),frozenset({'Drake'}),0.015247108307045216,0.02050473186119874,0.006309148264984227,0.41379310344827586,20.180371352785144,1.0,0.005996510397489609,1.6709036927073666,0.965162840363054,0.21428571428571427,0.4015214614914765,0.36074270557029176
frozenset({'Drake'}),frozenset({'M.I.A.'}),0.02050473186119874,0.015247108307045216,0.006309148264984227,0.30769230769230765,20.180371352785144,1.0,0.005996510397489609,1.4224208435564902,0.9703435319377348,0.21428571428571427,0.2969731816501704,0.36074270557029176
frozenset({'Ed Sheeran'}),frozenset({'Sam Smith'}),0.02103049421661409,0.017350157728706624,0.007360672975814932,0.35,20.172727272727272,1.0,0.006995790584044025,1.511768988109682,0.9708454810495627,0.23728813559322037,0.33852327447833064,0.3871212121212121
frozenset({'Sam Smith'}),frozenset({'Ed Sheeran'}),0.017350157728706624,0.02103049421661409,0.007360672975814932,0.42424242424242425,20.172727272727272,1.0,0.006995790584044025,1.7003154574132495,0.9672093556523733,0.23728813559322037,0.41187384044526903,0.3871212121212121
frozenset({'The Cure'}),frozenset({'The Killers'}),0.014195583596214511,0.01840168243953733,0.005257623554153523,0.3703703703703704,20.12698412698413,1.0,0.004996400932772078,1.5590090925960292,0.9640000000000001,0.19230769230769235,0.35856692257335004,0.3280423280423281
